Name,Empty,Date,Director,Notes,Rate,Year,Extra
Cabaret,,"January 5, 2023",Bob Fosse,,8.5,1972,
Labyrinth,"David Bowie, Jennifer Connelly","January 7, 2023",Jim Henson,,6.5,1986,
"Reservoir Dogs ","Tim Roth, Steven Vincent Buscemi","January 7, 2023",Quentin Tarantino,,3.5,1992,
Tokyo Story,原節子,"January 8, 2023",小津安二郎,「我很自私，並沒有如你們所想的常常想起賢三，甚至我常常會忘記他。」最後一段告白很感人。家庭與孝順概念的式微？傳統價值慢慢消逝，也是沒有辦法的事情。,9.4,1953,
Phantom Thread,Daniel Day Lewis,"January 9, 2023",Paul Thomas Anderson,,6.5,2017,
Addams Family Values,,"January 10, 2023",Barry Sonnenfeld,,7.48,1993,
The Addams Family,,"January 3, 2023",Barry Sonnenfeld,,7,1991,
Alice in the Wonderland S2,,"January 2, 2023",,,,2022,
Road to Perdition,Tom Hank,"January 13, 2023",Sam Mendes,經濟大蕭條時期芝加哥黑道的hitman幫妻兒復仇,7,2002,
The Grandmaster / 一代宗師,,"January 14, 2023",Kar Wai Wong 王家衛,,7.5,2013,
Casablanca,https://www.amazon.com/prime-video/actor/Ingrid-Bergman/nm0000006/ref=atv_dp_md_pp https://www.amazon.com/prime-video/actor/Humphrey-Bogart/nm0000007/ref=atv_dp_md_pp,"January 15, 2023",Michael Curtiz,愛情線很動人，假裝不在乎的主角很Q,8,1943,
Vanilla Sky,,"August 6, 2022",Cameron Crowe,,8,2001,
咒,,"August 7, 2022",柯孟融,,6.5,2022,
師父,,"July 28, 2022",徐浩峰,,,2015,
Clueless,,"November 21, 2022",,,,1995,Alicia Silverstone
凜冬烈火：烏克蘭自由之戰,,"February 28, 2022",,,6.5,2015,
The Day I Met El Chapo: The Kate Del Castillo Story,,"March 11, 2022",Kate Del Castillo,,6,2017,Documentary
Cooking with Paris,,"March 6, 2022",,,5,2021,
El Camino,,"May 14, 2022",Vince Gilligan,,3.5,2019,續命之徒：絕命毒師電影
Sleepers,,"March 27, 2022",Barry Levinson,,,1996,1960- Hell’s Kitchen
財閥家的小兒子,,"December 20, 2022",,,,2022,宋仲基
Swann in Love,,"May 28, 2022",Volker Schlöndorff,,,1984,往事追憶錄
Irish Man,,"January 3, 2022",Martin Scorsese,,8,2019,I Heard You Paint Houses
鄧不利多的秘密,,"April 30, 2022",,,3.5,2022,
Don’t Look Up,,"January 16, 2022",Adam McKay,,8.5,2021,#剪接神 #Satire
Cowboy Bebop,,"March 25, 2022","日升動畫, 萬代影視",,7.5,1998,星際牛仔
Decision to Leave,,"August 6, 2022",Park Chan Wook 朴贊郁,,8.5,2022,
World’s Most Wanted,,"March 12, 2022",,,4,2020,Documentary
"Love, Death, Robot S3",,"May 20, 2022",,,4,2022,
The Worst Person in the World,,"February 23, 2022",Joachim Trier,,8,2021,
Spycraft,,"March 8, 2022",,,5,2021,
Marie Antoinette,,"November 14, 2022",Sophia Coppola,,7,2006,
Fear City: New York vs The Mafia,,"March 8, 2022",,,6,2020,
Meek’s Cutoff,,"March 29, 2022",Kelly Reichardt,,8,2010,米克的近路
Ali Wong: Don Wong,,"March 5, 2022",Ali Wong,,8,2022,#低俗 #爛人 #女性
Better Call Saul S6,,"May 23, 2022","Vince Gilligan, Peter Gould",,9.5,2022,
諧星乘車買咖啡,,"February 21, 2022",,,3.25,2012,
"Everything Everywhere All At Once ",,"April 24, 2022","Daniel Kwan (關家永）, Daniel Scheinert",,7.5,2022,媽的多重宇宙
頭七,,"April 1, 2022",,,1,2022,
"The Gangster, The Cop, The Devil",,"August 1, 2022",李元泰,,,2019,
Drug Lords,,"March 15, 2022",,,6.5,2018,Documentary
Top Gun 2,,"June 4, 2022",,,7,2022,
讓子彈飛,,"November 22, 2022",姜文,,10,2010,
傑瑞·史菲德：23 小時殺時間,,"February 27, 2022",,,,2020,
傑瑞·史菲德：我再說最後一次,,"March 5, 2022",,,3,1998,
Bojack Horseman,,"December 19, 2022",,,,2014,
Inside the World’s Toughest Prisons S1-S6,,"October 17, 2022",,,,2016 - 2022,Documentary
傑瑞·史菲德哪一位,,"February 28, 2022",,,,2017,
Drive My Car,,"February 15, 2022",濱口竜介,,8,2021,
American Girl,,"March 26, 2022",阮鳳儀,,7,2021,美國女孩
海上花,,"January 17, 2021",侯孝賢,,,1998,#梁朝偉 #張愛玲 #吳語 #狹邪 #長三書寓 #飛機上
蜂巢的幽靈,,"April 11, 2021",Víctor Erice,,7.6,1973,
Alias Grace,,"August 12, 2021","D.https://en.wikipedia.org/wiki/Mary_Harron
W. https://en.wikipedia.org/wiki/Sarah_Polley",,8,2017,雙面葛蕾斯
Arrested Development,,"July 28, 2021",,,3.8,,
"Lock, stock, and two smoking barrels",,"April 23, 2021",Guy Ritchie,,7,1999,兩根槍管
Kramer v.s. Kramer,,"January 30, 2021",Robert Benton,,,1980,#婚姻故事 #DustinHoffman
Bridesmaid,,"January 3, 2021",,,,2011,#廢片 #MelissaMcCarthy
Barry,,"January 1, 2021",Bill HaderAlen Berg,,,2018,#控制 #跳接多 #劇場 #荒謬 8.8/10 #空手道野獸女兒 #Hank #HiroMurai
黃海,,"February 3, 2021",羅宏鎮,,,2010,#河正宇 #恍惚 #斧頭 #狗 #釜山 #延吉
"Three Billboards Outside Ebbing, Missouri",,"January 17, 2021",Martin McDonagh,,,2017,#FrancesMcDormand
今際之國的闖關者,,"January 4, 2021",佐藤信介,,,2020,#山崎賢人 #柳俊太郎武士刀 #比基尼辣妹 #tomotachi #粟國 #生存遊戲
Inside Llewyn Davis,,"February 22, 2021",Coen Brothers,,3.5/5,2013,
John Wick: Chapter 2,,"January 29, 2021",,,,2017,#俐落 #爆頭 #羅馬 #美術館 #逐出飯店
The Office S1-S5,,"January 9, 2021",,,,2005,
Django Unchained,,"January 27, 2021",Quentin Tarantino,,,2012,#JamieFoxx #Christoph Waltz #SamuelJackson
The Naked Director,,"June 29, 2021",武正晴、河合勇人、內田英治,,7.6,2021,AV帝王2
Godzilla v.s. King Kong,,"March 22, 2021",Adam Wingard,,2.5/5,2021,#地心世界
Nebraska,,"March 21, 2021",Alexander Payne,,7,2013,#公路 #中獎
Ready Player One,,"January 17, 2021",Steven Spielberg,,,2018,
Call My Agent S1-S4,,"July 16, 2021",,,6,,
The Nice Guys,,"July 29, 2021",,,7,2016,假會徵信社
Hateful Eight,,"January 26, 2021",Quentin Tarantino,,,2015,#西部 #暴風雪 #毒咖啡 #SamuelJackson
非誠勿擾,,"June 4, 2021",,,4,2008,
Divorce Italian Style,,"May 27, 2021",Pietro Germi,,6,1961,#MarcelloMastroianni
Legally Blonde,,"July 28, 2021",,,5,,
攻殼機動隊,,"January 6, 2021",押井守,,,1995,#士郎正宗 #GhostintheShell #記憶組成我 #電子腦
無間道2,,"February 10, 2021","劉偉強, 麥兆輝",,,2003,#泰國 #黃秋生 #陳冠希 #曾志偉 #劉嘉玲 #吳鎮宇 #文樂
Marriage Italian Style,,"May 26, 2021",Vittorio di Sica,,8,1964,"#MarcelloMastroianni #SophiaLoren "
Goblin Slayer,,"April 22, 2021",,,4,,
無間道,,"February 6, 2021","劉偉強, 麥兆輝",,,2002,#梁朝偉 #劉德華 #臥底 #陳冠希
" Mind Hunter S1-S2",,"January 20, 2021",David Fincher,,,,
Seinfeld,,"November 25, 2021",,,7,S1-S9,
下女的誘惑,,"June 27, 2021",朴贊郁,,7,2016,
Die Hard,,"January 27, 2021",,,,1988,#BruceWillis #中富大樓 #Terrorists
Bergman: A Year in a Life,,"February 22, 2021",Jane Magnusson,,9,2018,"#1957 #ToUseMyselfBothAsTreeAndAx #Jerk 
導戲劇 #史特林堡《長篇故事》 #培爾金特 #果戈爾《賭徒》 #莫里哀《厭世者》"
Yojimbo / 大鏢客,,"June 1, 2021",Akira Kurosawa,,5,1961,#三船敏郎 #仲代達矢
咒術回戰,,"June 14, 2021",芥見下下,,,,好難看
RED,,"August 17, 2021",,,3.8,2010,超危險特工
"Merry Christmas, Mr. Lawrence",,"May 13, 2021",Nagisa Ōshima,,9,1983,"尊嚴、秩序、榮譽、武士道、戰爭、禮儀、壓抑
人道、正義、平等、自由、反叛、個人"
令人討厭的松子的一生,,"April 11, 2021",中島哲也,,8,2006,
The Sons of Sam: A Descent into Darkness,,"May 31, 2021",Joshua Zeman,,4,2021,
Notting Hill,,"May 18, 2021",Roger Michell,,,1999,"She's just a girl, standing in front of a boy, asking him to love her."
Seven Samurai,,"January 3, 2021",Akira Kurosawa,,,"1954 ",#三船敏郎 #志村喬 #配樂早坂文雄
Memento,,"June 8, 2021",Christopher Nolan,,6,2000,
江湖兒女,,"March 26, 2021",賈樟柯,,9,2018,#UFO #情義
Atlanta S2,,"February 20, 2021",#HiroMurai,,,2018,E3100大鈔 E4德國乒乓感情危機 E5剪頭髮 E6嚴父鋼琴犧牲 E7RealFakeSimulationDrake E8stayReal森林現實 E10FakeFUBU E11歐洲巡演不擇手段
"Yesterday, Today, Tommorrow",,"May 26, 2021",Vittorio di Sica,,8,1963,"#MarcelloMastroianni #SophiaLoren "
Meet Joe Black,,"June 3, 2021",Martin Brest,,4,1998,
青春弒戀,,"November 25, 2021",何蔚庭、李沐、姚愛甯、陳庭妮、林柏宏、林哲熹,,5,2021,
NANA,,"March 30, 2021",矢澤愛,,,2006,#難看 #OS太多
South Park S21,,"January 4, 2021",,,,,#Alexa#Whitepplrenovatinghouses #SuicidalxDistracteddrivers #ColumbusDNAtest #HummelsHeroin #WitchHunt #EricHeidiBrokeup
American Gangster,,"May 21, 2021",Ridley Scott,,7.5,2007,#NY #gangster #heroin #1960s
Youth,,"April 13, 2021",Paolo Sorrentino,,,2015,年輕氣盛 #難看死了
Atlanta S1,,"February 18, 2021",HiroMurai,,,2016,"#DonaldGlover #ChildishGambino E4, E7電視節目廣告諷刺跨種族 E8SpikeLeeEyesWideShut"
"Nomadland ",,"February 21, 2021",趙婷,,7,2020,#FrancesMcDormand #RVLife #Road
Brokenback Mountain,,"May 16, 2021",Lee Ang,,8,2005,襯衫
末代皇帝,,"April 27, 2021",Bernardo Bertolucci,,7.5,1987,什麼都可以做，打不開的門。所有想要的東西得不到的一位。西化/投日。變動又猶豫不決。軟弱？
The Balland of Buster Scruggs,,"January 28, 2021",Coen Brothers,,,2018,西部老巴的故事 #唱歌神射手 #淘金大自然 #馬戲團沒手沒腳 #搶銀行被吊死 #馬車隊結婚印地安人 #馬車六人生死
滾滾紅塵,,"June 4, 2021",嚴浩,,6,1990,#三毛 #林青霞 #張曼玉 #秦漢
"Love, Death, Robot S2",,"May 23, 2021",,,6,2021,
如果我是蘇菲亞羅蘭,,"May 25, 2021",Ross Kauffman,,4.2,2021,一部紀錄短片，講述蘇菲亞羅蘭對一個義大利移民二代母親的意義，平行的方式從成長經驗、結婚、生子、至親死亡等等的經歷，利用電影角色講述人生啟發，蘇菲亞羅蘭就是正
"峰迴路轉 Knives out ",,"January 3, 2020",,With Che,,2019,
Tokyo Ga,,"January 20, 2020",Wim Wenders,,9,1985,
Bojack Horseman S3,,"February 3, 2020",,,,,
" I’m a cyborg but that’s OK",,"February 14, 2020",Park Chan Wook 朴贊郁,,6,2006,
Almost Famous,Kate Hudson,"February 23, 2020",Cameron Crowe,,,2000,
"Mind, Explained",,"February 19, 2020",,,,,
The Eternal Sunshine of the Spotless Mind,"Jim Carrey, Kate Winslet","February 21, 2020",Michel Gondry,Written by Charlie Kaufman,9.5,,
Dead Poets Society,,"February 25, 2020",Peter Weir,,6.5,1989,
" Amadeus",,"February 26, 2020",Miloš Forman,,7,1984,
Sleepless in Seattle,Tom Hanks,"March 1, 2020",,,7.5,,
1917,,"March 5, 2020",Sam Mendes,With Tuan,7.5,2019,
Okja,,"March 6, 2020",Bong Joon-ho 奉俊昊,With Tuan,7,2017,
Landscape in the Mist,,"March 11, 2020",Theo Angelopoulos,,9.5,1988,
Beastars S1,,"March 13, 2020",,,3.5,,
Weeping Meadow,,"March 14, 2020",Theo Angelopoulos,,7.5,2004,
AV帝王 S1,山田孝之,"March 16, 2020",,,8,2019,
Breaking Bad,,"April 21, 2020",,,10,,
"Paris, Texas",,"May 14, 2020",Wim Wenders,,8.5,1984,
Eyes Wide Shut,,"June 28, 2020",Stanley Kubrick,,7,,
Gozu,,"June 29, 2020",三池崇史,,8,2003,
Lisbon Story,,"July 13, 2020",Wim Wenders,,6,1994,
La Dolce Vita,Marcello Mastroianni,"July 24, 2020",Federico Fellini,Golden Horse Film Festival,7.5,1960,
La Strada,,"July 24, 2020",Federico Fellini,Golden Horse Film Festival,7,1954,
Nights of Cabiria (Le notti di Cabiria),Giulietta Masina,"July 24, 2020",Federico Fellini,Golden Horse Film Festival,9.5,1957,
The Bullocks (I vitelloni),Giulietta Masina,"July 25, 2020",Federico Fellini,Golden Horse Film Festival 妓女被騙慘慘,7,1953,
Gone With the Wind,,"January 16, 2023",Victor Fleming,"Frankly, dear, idgad. Novel by Margaret Mitchell",7,1939,
Citizen Kane,,"January 20, 2023",Orson Welles,"Amazing editing, effect + transition, cinematography considering its time",9.5,1941,
Early Summer / 麥秋,,"January 24, 2023",小津安二郎,出嫁，一切都會變的傷感,9.5,,
John Wick 1,,"August 21, 2020",,Watched it on my way to the Netherlands,7.5,2014,
South Park S1,,"September 3, 2020",,,9.4,,
Howl’s Moving Castle,,"August 24, 2020",,,4,2014,
Fight Club,,"August 28, 2020",David Fincher,#Pixies #Whereismymind,8,1999,
Better Call Saul S1-S5,,"September 1, 2020",,Probably one of the best show I’ve ever watched,9.5,,
The Dreamers,,"October 1, 2020",Bertolucci,#1968 法國學運 #致敬電影 #NakedEvaGreen,6,2003,
Cabiria,,"October 11, 2020",Giovanni Pastron,#SecondPunicWar #Rome #Carthage #美術 #Leopard,,1914,
The Age of Innocence,,"October 21, 2020",Martin Scorsese,Watched in at the Eindhoven Hotel,3.5,1993,
Scenes from a Marriage,,"October 12, 2020",Ingmar Bergman,,8,1973,
Paris is Burning,,"October 13, 2020",,Documentary of drag queens scenes in bronx,7.5,1990,
Ocean’s Eleven,,"October 14, 2020",Steven Soderbergh,#WinHerBack? #Casino,3.5,2001,
In the Realm of Senses 感官世界,,"October 15, 2020",Ōshima Nagisa 大島渚,Watched in at the Antwerp Hotel,8,1976,
American Psycho,,"October 28, 2020",Mary Harron,#GoldenHair,7.5,2000,
Ocean’s Twelve,,"October 30, 2020",Steven Soderbergh,#GoldenEgg,7,2004,
Ocean’s Thirteen,,"October 30, 2020",Steven Soderbergh,#CasinoDiamond,6.5,2007,
Stagecoach,,"October 31, 2020",John Ford,#Desert #Apache #驛馬車 #關山飛渡 #Geronimo,4.25,1939,
Notorious,Ingrid Bergman,"November 1, 2020",Hitchcock,#teacup #Spying,8.5,1946,
The Big Lebowski,,"November 2, 2020",Joel and Ethan Coen,"#Cult #Bowling #Carpet Highly Entertaining ",9.5,1998,
Bladerunner 2049,"RyanGosling ","November 8, 2020",Denis Villeneuve,#WoodHorse An exceptional sequel. Outstanding cinematography.,9.5,2017,
Total Recall,Arnold Schwarzenegger,"November 12, 2020",Paul Verhoeven,,7.5,1990,
Moonlight,,"November 9, 2020",Barry Jenkins,#Water #drugdealer #Father Would appreciate better with more American contextual knowledge?,7.5,2016,
Gladiator,,"November 13, 2020",Ridley Scott,#Rome #Tragedy #戀妹,7.5,2000,
In the Mood for Love,,"November 15, 2020",Kar Wai Wong 王家衛,#SlowMotion #旗袍 #走廊 I’d way it’s the best of Wong. Perfect storytelling with cinematography,8.5,2000,
True Grit,,"November 25, 2020",Joel and Ethan Coen,#西部 #方言 #斷手,8,2010,
What's Eating Gilbert Grape,,"December 11, 2020",Lasse Hallström,#Johnny Depp #Leonardo DeCaprio #Fatmama,9,1993,
Identity Thief,Melissa McCarthy,"December 13, 2020",,,7.5,2013,
Gilmore Girls S1-S2,,"December 18, 2020",,#Luke #Jess #Lorelai #Rory,3.25,,
District 9,,"December 26, 2020",,#SouthAfrica #Aliens Watched in at a Paris hotel,7.5,2009,
The Host,,"December 31, 2020",奉俊昊,#貧窮 #Beer Bad SE but interesting take of monster films and South Korea social issues,7.5,2006,
Inglorious Basterds,"Christophe Waltz, Brad Pitt, Mélanie Laurent","December 31, 2020",Quentin Tarantino,,7.5,2009,
Jules et Jim,,"January 16, 2019",François Truffaut,#LouvreRun,7.5,,
Star Wars 1-5,,"February 4, 2019",,,8,,
Death in Venice,,"March 23, 2019",Luchino Visconti,,4,,
The Leopard / Il Gattopardo / 浩氣蓋山河,Burt Lancaster / Claudia Cardinale / Alain Delon,"March 26, 2019",Luchino Visconti,Impressive mise en scene. A wonderful story of Sicili royal family declining before Italy unites.,9.5,1963,
"Senso / 戰國妖姬 ",,"March 28, 2019",Luchino Visconti,,7.5,,
The Love Eterne / 梁山伯與祝英台,,"April 13, 2019",,2019 Golden Horse Fantastic Film Festival,,,
Taxi Driver / 計程車司機,,"April 24, 2019",Martin Scorsese,,7.5,2005,
OldBoy / 原罪犯,,"May 1, 2019",Park Chan Wook 朴贊郁,w.哲,9.5,2003,https://www.themoviedb.org/movie/670
Sicario,Emily Blunt,"May 7, 2019",Denis Villeneuve,w.哲 Great cinematography,8.5,2015,
Apocalypse Now,,"May 22, 2019",Francis Coppola,w.哲 Bad ending though,8,1979,
No Country For Old Man,,"May 23, 2019",Joel and Ethan Coen,,9.4,2007,
20th Century Women,,"May 28, 2019",Mike Mills,Bad!!,5,2016,
Paradise Next / 亡命之途,Juliette Binoche,"June 12, 2019",,,,2019,
"Paris, Texas",,"June 23, 2019"," Wim Wenders",A heartbreaking story of relationship. Little boy was cute. Watched it with Che.,9.5,1984,
Roma,,"June 24, 2019",Alfonso Cuarón,,9.5,2018,
Wings of Desire,,"June 26, 2019"," Wim Wenders",Mediocre story I think,7.5,1988,
The Color of Pomegranate / 石榴的顏色,,"June 28, 2019",Sergei Parajanov,Soviet film. A poetic treatment of the life of 18th-century https://en.wikipedia.org/wiki/Armenia poet and troubadour https://en.wikipedia.org/wiki/Sayat-Nova. Need more historical/cultural context to appreciate it overwise it’s just boring af,6.5,1969,
Parasite,,"June 28, 2019",Bong Joon-ho 奉俊昊,Perfect editing!! Don’t really like the dramatic expression though. 南港喜樂,9,2019,
Typhoon / 颱風,,"June 29, 2019",潘壘,Taipei Film Festival. Classic Taiwanese film tat portrays female desire.,8,1962,
Stalker,,"June 30, 2019",Andrei Tarkovsky,,9.5,1982,
Kung Fu master / 功夫大師,"Jane Birkin, Mathieu Demy, Charlotte Gainsbourg","July 3, 2019",Agnes Varda,Taipei Film Festival,7.5,1988,
"La Pointe
 Courte / 短角情事",,"July 6, 2019",Agnes Varda,Taipei Film Festival,7.5,1955,
赤線地帶,,"July 7, 2019",Kenji Mizoguchi,Taipei Film Festival,8,1956,
獅子、愛、謊言,,"July 7, 2019",Agnes Varda,Taipei Film Festival. A film about Hollywood desires,7,1969,
五點到七點的克萊歐 / Cléo de 5 à 7 /  Cleo from 5-7,,"July 8, 2019",Agnes Varda,Taipei Film Festival. A film about Hollywood desires,8,1962,
五點到七點的克萊歐 / Cléo de 5 à 7 /  Cleo from 5-7,,"July 8, 2019",Agnes Varda,Taipei Film Festival. A film about Hollywood desires,7,1962,
Daguerreotypes,,"July 9, 2019",Agnes Varda,Lovely documentary that pictures a street named daguerre while paying tribute to cinema art. Perfect editting.,4.75,1975,
Contempt,,"July 9, 2019",Jean-Luc Godard,,8,1963,
Siblings of the Cape / 海角上的兄妹,,"July 13, 2019",片山慎三,,7,2019,
The Heathers,Winona Ryder,"July 20, 2019",Michael Lehmann,,7,1989,
Edward Scissorhands,Winona Ryder,"July 22, 2019",Tim Burton,,7,1990,
L'eclisse / 慾海含羞花,"Monica Vitti, Alain Delon","July 28, 2019",Michelangelo Antonioni,,9,1962,
Shoeshine / 擦鞋童,,"August 3, 2019",Vittorio De Sica,,9.5,1946,
L'amore / 愛,,"August 5, 2019",Roberto Rossellini,,6.5,1948,
Fabiola / 神話故事,,"August 9, 2019",Alessandro Blasetti,,6.5,1949,
Rocco and His Brothers / 洛可兄弟,,"August 10, 2019",Luchino Visconti,,9.5,1960,
Il Grido / 哭泣,,"August 10, 2019",Michelangelo Antonioni,,7.5,1957,
"Rome, Open City / 羅馬，不設防城市",,"August 13, 2019",Roberto Rossellini,,8,1945,
My Own Private Idaho / 男人的一半還是男人,River Phoenix,"July 30, 2019",Gus van Sant,with Tuan at Miaoko,9.5,1991,
Umberto D /  退休生活,,"August 2, 2019",Vittorio De Sica,,7.5,1952,
Ten things I hate about you / 對面惡女看過來,,"July 31, 2019",Roberto Rossellini,with Tuan at Miaoko,6,1945,
Faces Places / 最酷的旅伴,,"September 6, 2019",Agnes Varda,,7.5,2017,
Objectified,,"September 5, 2019",,,,2009,
齊木楠雄的災難,,"October 3, 2019",,,,,
返校,,"October 4, 2019",徐漢強,#新民生戲院 #赤燭,7,2019,
Zombieland 屍樂園,,"October 10, 2019",,,7.5,2009,
Neon Genesis Evangelio / 新世紀福音戰士,,"October 11, 2019",庵野秀明,#明日香不要,7.5,1995,
Une Femme est Une Femme 女人就是女人,,"October 13, 2019",Jean-Luc Godard,#KarinaDancing,8,1961,
Zombieland 2,,"October 13, 2019",,長春國賓,,2019,
Mah Jong / 麻將,,"October 15, 2019",Edward Yang 楊德昌,,9.5,1996,
Zombieland 屍樂園,,"October 10, 2019",,,,2009,
Confucius Confusion / 獨立時代,,"October 17, 2019",Edward Yang 楊德昌,,8,1994,
" My Sons / 兒子",永瀨正敏,"October 10, 2019","Yoji Yamada 山田洋次 ",,,1991,
Sympathy for Lady Vengeance / 親切的金子,"李英愛, 崔岷植, 宋康昊","November 2, 2019",Park Chan-wook / 朴贊郁,,7,2005,
