Name,Empty,Date,Director,Notes,Rate,Year,Extra
The Twilight Samurai / 黃昏清兵衛,,"November 1, 2019","Yoji Yamada 山田洋次 ",,,2002,
陽光普照,陳以文、柯淑勤、巫建和、劉冠廷、許光漢,"November 10, 2019",鍾孟宏,,7,2019,
Maggie / 一條鯰魚救世界,,"November 10, 2019",李玉燮,,9.5,2019,
Nimic / 模仿客,,"November 23, 2019",Yorgos Lanthimos,,6.5,2019,
"My Life to Live / Vivre sa Vie / 賴活 ",,"November 28, 2019",Jean-Luc Godard,,9.4,1962,
Fury / 狂怒,,"December 18, 2019",Fritz Lang,,,1936,
Kinetta / 非普通犯罪,,"November 23, 2019",Yorgos Lanthimos,,5.5,2019,
Metropolis / 大都會,,"December 17, 2019",Fritz Lang,,,1927,
Red Desert / Il Deserto Rosso 紅色沙漠,,"December 19, 2019",Michelangelo Antonioni,Monica Vitti,9.5,1964,
Marriage Story / 婚姻故事,,"December 25, 2019",Noah Baumbach,"Adam Driver, Scarlett Johansson, Laura Dern",9.5,2019,
Sunrise / 愛在日落巴黎時,,"January 30, 2018",,,,,
Coffee and Cigarette / 咖啡與菸,,"February 4, 2018",Jim Jarmusch,,,,
I'm So Excited / 飛常性奮,,"August 2, 2018",Pedro Almodóvar,,,2013,
青梅竹馬,,"March 1, 2018",Edward Yang 楊德昌,,,1985,
愛情萬歲,,"February 16, 2018",蔡明亮,,,1994,
牯嶺街少年殺人事件,,"March 15, 2018",Edward Yang 楊德昌,,,1991,
Nostaghia / 鄉愁,,"July 2, 2018",Andrei Tarkovsky,,,1983,
青少年哪吒,,"February 7, 2018",蔡明亮,,,1992,
Sonatine / 奏鳴曲,,"February 6, 2018",Kitano Takeshi 北野武,,,1993,
Blow Up / 春光乍現,,"February 1, 2018",Michelangelo Antonioni,,,1966,
"A Room With a View / 窗外有藍天 ",Helena Bonham Carter,"April 18, 2018",James Ivory,,,1985,
The Pianist / 鋼琴教師,,"January 30, 2018",,,,,
Howards End / 此情可問天,,"April 14, 2018",James Ivory,#EMForster,,1992,
Hanabi / 花火,,"February 5, 2018",Kitano Takeshi 北野武,,,1997,
凶暴的男人,,"August 18, 2018",Kitano Takeshi 北野武,,,1989,
星際大戰首部曲,,"September 6, 2018",,,,,
星際大戰二部曲,,"September 6, 2018",,,,,
Amy / 艾美懷絲,,"September 6, 2018",,Documentary of the famous singer very dear to my heart,9.5,2015,
Trois Couleurs : Bleu / 藍色情挑,Julette Binoche,"September 17, 2018",Krzysztof Kieślowski,,,1993,
Trois Couleurs : Blanc / 白色情迷,Julie Delpy,"September 17, 2018",Krzysztof Kieślowski,,,1994,
What Have I Done To Deserve This?,,"October 18, 2018",Pedro Almodóvar,,,1984,
瀕臨崩潰邊緣的女人,,"October 11, 2018",Pedro Almodóvar,,,,
Mysterious Train / 神秘列車,,"November 28, 2018",Jim Jarmusch,,,1989,
"Ruben Brandt, Collector / 盜夢特攻隊",,"November 12, 2018",,金馬影展 2018 Taipei Golden Horse Festival,,,
Grain / 如果麥子消失,,"November 12, 2018",,金馬影展 2018 Taipei Golden Horse Festival,,,
Farewell My Concubine / 霸王別姬,,"December 17, 2018",陳凱歌,,,1993,
Mommy / 親愛媽咪,,"January 1, 2018",Xavier Dolan,,,,
千禧曼波,,"January 1, 2015",侯孝賢,,,2001,
2046,,"January 1, 2017",Kar Wai Wong 王家衛,Watched in 2015,,2004,
花痕,,"September 1, 2013",中西健二,北川景子,,,
American Beauty,,"January 1, 2014",,,,1999,
海街日記,,"January 1, 2015",Hirokazu Koreeda 是枝裕和,,,2015,
聽媽媽的話,,"January 1, 2013",Xavier Dolan,,,,
菊次郎之夏,,"January 1, 2017",Kitano Takeshi 北野武,,,1999,
(500) Days of Summer / 戀夏500日,,"January 1, 2012",,2012,,2009,
Juno,,"September 1, 2012",,,,2007,
The Double Life of Veronique / 雙面薇若妮卡,,"January 1, 2017",Krzysztof Kieslowski,,,1991,
行動代號孫中山,,"January 1, 2013",易智言,,,2014,
咖啡時光,,"January 1, 2015",Edward Yang 楊德昌,Watched in 2014 or 2015,,2003,
The Perks of Being a Wallflower,,"January 1, 2014",,,,2012,
"Like Father, Like Son / 我的意外爸爸",,"January 1, 2013",Hirokazu Koreeda 是枝裕和,,,2013,
阿飛正傳,,"January 1, 2017",Kar Wai Wong 王家衛,Watched in 2015,,1990,
不過就是世界末日,,"January 1, 2017",Xavier Dolan,,,,
花與愛麗絲,,"January 1, 2015",岩井俊二,,,2004,
東邪西毒,,"January 1, 2015",Kar Wai Wong 王家衛,Watched in 2015,,1994,
射鵰英雄傳之東成西就,,"January 1, 2015",Kar Wai Wong 王家衛,,,1993,
扶桑花女孩,,"September 1, 2013",李相日,蒼井優,,2006,
情書,,"January 1, 2015",岩井俊二,,,1995,
Blue Gate Crossing,,"January 1, 2013",易智言,,,2002,
Laurence Anyways / 雙面勞倫斯,,"January 1, 2018",Xavier Dolan,,,,
Where the Wild Things Are / 野獸冒險樂園,,"January 1, 2016",,,,,
那年夏天，寧靜的海,,"January 1, 2016",Kitano Takeshi 北野武,,,1991,
A One and A Two / 一一,,"January 1, 2015",Edward Yang 楊德昌,,,2000,
TEACHING TO SEE,,"February 2, 2023",Andrei Severny,"Good introduction to Inge Druckrey, Typography, and the principles of graphic design",8.5,2012,
體能之巔,,"January 31, 2023",,,,2022,
Lolita,,"February 10, 2023",Stanley Kubrick,,7.48,1962,
My Big Fat Greek Wedding,,"February 11, 2023",,,6,2002,
"Romeo
 + Juliet",,"February 12, 2023",,,6,1996,
The Last of Us,,"March 1, 2023",,,8.5,2023,
Euphoria S1,,"February 21, 2023",,,8,2019,
Burn After Reading,,"March 9, 2023",Coen Brothers,,8.5,2008,
Italianamerican,,"March 10, 2023",Martin Scorsese,,6,1974,
007: Dr No,,"March 10, 2023",,,,1962,
Castle of the Sky,,"August 17, 2023",,,7.5,1986,
Nausicaa,,"August 24, 2023",,,4,1984,
Amsterdam,,"August 1, 2023",David Owen Russell,,6,2022,
All Quiet On the Western Front,,"June 8, 2023",,,7,2023,
Spider-Man: Across the Spider-Verse,,"January 1, 2015",,,,2023,
Spider-Man: Into the Spider-Verse,,"November 21, 2022",,,,2018,
The Social Dilemma,,"August 20, 2023",,,,2020,
La La Land,,"August 1, 2023",Damien Chazelle,,8,2016,
Groundhog Day,,"January 1, 2020",,,,1993,
Barbie,,"July 21, 2023",Greta Gerwig,,7.5,2023,
Elemental,,"August 4, 2023",,,6.5,2023,
Inside Out,,"August 4, 2023",,,6,2015,
Pride and Prejudice,,"August 10, 2023",Joe Wright,,,2005,
Shameless S1 -,,"August 17, 2023",,,6,2011,
Persona 5 Animation,,"March 15, 2023",,,4.0,2018,
Donnie Brasco,,"September 24, 2023",Mike Newell,,7.5,1997,
Infernal Affairs,,"September 23, 2023",https://www.google.com/search?sca_esv=600101668&q=%E5%8A%89%E5%81%89%E5%BC%B7&si=AKbGX_oBDfquzodaRrfbb9img4kPQ4fCBZjeqAiaW1svvC8uXmQ_7jrMVKh8B55FvAip8YKM4wtszUFbAWWFMou0k_wgdXdw4zDulj0k2AN4eEu18XHBTcbfC0RzAG5gF9o7HUqtJO8CZyT3R9ZUSSrT2Yr9C5l2K7oXZmTrwZh8kk3iwLQBPJmpMUy8Hw9k1JxwYmFc-cx87R73l9bMfUKpbDdPqewSn8cLANpw9-oqCntlq22jrPaR_I6WPmobIKV8IV2EpYFhMhvdN9Ps5K7yREyMIQzuKg%3D%3D&sa=X&sqi=2&ved=2ahUKEwifmsSGzOyDAxUZEFkFHSSKCIoQmxMoAHoECBwQAg、https://www.google.com/search?sca_esv=600101668&q=%E9%BA%A5%E5%85%86%E8%BC%9D&si=AKbGX_qWtsfHufXsq_1jeDkJp50FstNngDxsch3EVTUjn7imcLROoVdPWJm4jH4SbL2MWpJlxC15BOCBEk7sR6jY_jNCZczWfGDBSlYgPZ2iah0gDob9q87zkHYw7gtNkWQL69pDrjEKJT7oukeY3fJFtpr5VOxencSX12rPnTzHKeRRe5XPC_5vBNslNV-mvywKPn1YvL_32cORocP9LRBlxfrEHqBvIbwvGOOI-x0ScUtGAWEELI3V45f2gXhYuoSmWFv86dEEaeYEU2y2vrLOkDr7WQjI7A%3D%3D&sa=X&sqi=2&ved=2ahUKEwifmsSGzOyDAxUZEFkFHSSKCIoQmxMoAXoECBwQAw,,8.5,2002,
Napoleon Dynamite,,"November 28, 2023",Jared Hess,,7.5,2004,
Rosemary’s Baby,,"October 25, 2023",Roman Polanski,,,1968,
Hot Fuzz,,"December 10, 2023",Edgar Wright,,4,2007,
Home/Free,,"December 13, 2023",,,,2023,
Fantastic Planet,,"December 13, 2023",Rene Laloux,,7.5,1973,
Fargo,,"December 20, 2023",,,8,1996,
The Boy and the Heron,,"December 17, 2023",,,8.5,2023,
Beef,,"April 16, 2023",,,5.5,2023,
Maestro,,"December 22, 2023",Bradley Cooper,,7,2023,
Kim’s Convenience S1E9,,"January 1, 2024",,,,2021,
Suits S1,,"January 4, 2024",,,,2019,
You are what you eat: Twin Experiment,,"January 7, 2024",,,,2023,
No Hard Feelings,,"January 17, 2024",,,,2023,
Little Miss Sunshine,,"January 17, 2024",,Family. A loser is someone who’s so afraid that they don’t even try.,,2006,
Drive,,"December 24, 2023",,,8,2011,
Training Day,,"January 17, 2024",Antoine Fuqua,,,2001,
The Bear S1-S2,,"January 19, 2024",,Accepting change. Finding joy and purpose. Sense of accomplishment. Family.,,2022,
The Game Changer,,"January 8, 2024",,,,2018,
Watch Live to 100: Secrets of the Blue Zones,,"November 14, 2023",,,,2023,
Good Morning / 早安,,"January 24, 2024",Yasujirō Ozu,"Raising kids, Neighbors.",,1959,
Heat,,"January 24, 2024",Michael Mann,"Al Pacino, De Niro. Men without women, very gay. ",,1995,
Murder On the Orient Express,,"January 26, 2024",Sidney Lumet,,,1974,https://www.themoviedb.org/movie/4176-murder-on-the-orient-express
Love is Blind,,"March 6, 2024",,,,2023,
Furiren / 葬送的芙莉連,,"March 7, 2024",,,10,2023,
The Disaster Artist,,"May 10, 2024",,,8,2003,
The Peanut Butter Falcon,,"May 9, 2024",,,7,2019,
Mysterious of the Faith,,"May 8, 2024",,,,,
Turning Point: The Bomb and the Cold War: Season 1:,,"May 4, 2024",,,,,
Hack Your Health: The Secrets of Your Gut,,"April 30, 2024",,,,,
Love Is Blind: Season 6,,"March 3, 2024",,,,,
Mad Max: Furiosa,,"June 10, 2024",George Miller,"Tragedy, Revenge, Motorbikes",9,2024,
Mad Max,,"June 10, 2024",George Miller,,,1979,
Mad Max: Fury Road,,"June 11, 2024",,,10,,
Ghost in the Shell,,"June 23, 2024",,,9,,
Ghost in the Shell: Innocence,,"June 26, 2024",,,6,,
Lord of the Rings: https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,,"June 14, 2024",,,,,
Lord of the Rings: Two Towers,,"June 16, 2024",,,,,
Lord of the Rings: https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,,"June 19, 2024",,,,,
My Neighbors the Yamadas,,"July 30, 2024",高畑勳 (Takahata Isao),,,1999,
Hit Man,,"June 13, 2024",,,4,2024,
Unlocked: A Jail Experiment S1,,"April 20, 2024",,,,,
Get Gotti: S1,,"March 28, 2024",,,,,
Homicide: New York,,"March 28, 2024",,,,,
The Minimalists: Less Is Now,,"January 26, 2024",,,,,
Soul,,"August 14, 2024",,,3.5,,
Moana,,"August 16, 2024",,,3.8,,https://www.themoviedb.org/movie/277834-moana
Coco,,"September 20, 2024",,,6,2017,
Two can Play That Game,,"June 4, 2024",,,,,
Friday the 13th,,"August 22, 2024",https://www.google.com/search?sca_esv=5cf0ee39a289ec1c&q=Sean+S.+Cunningham&si=ACC90nzx_D3_zUKRnpAjmO0UBLNxnt7EyN4YYdru6U3bxLI-L5zN-ilv427YE_52XgDAd_rVSXPLcNme4eE2UfAXGv8hjSUwYBP72--3qqbgPnAV0e0_apbD3dTzV3lAxfQY11NicFqUxBlFx6UgfEBl3PZeQOA3gcDLM8gKQArbLBpuW70D3KQ5ZMbCqPwHE0U1DDIqHXV9gklgbz6sxxPVDTFXEet25A%3D%3D&sa=X&ved=2ahUKEwjqlbqI9teKAxW8GVkFHfr0MgUQmxMoAHoECEwQAg,,,1980,
影后,,"November 13, 2024",嚴藝文,Goofy but real closeup of female actors and entertainment industry in Taiwan.,7,2024,
Black Doves,,"December 29, 2024",,Unnecessarily complicating the plot through unreasonable character reactions,5,2024,
The Fall Guy,,"December 27, 2024",https://www.google.com/search?sca_esv=5cf0ee39a289ec1c&q=David+Leitch&si=ACC90ny8E30vD16OoPAAI4cStfcliGy35W8UAhb0TsHNc_ISQUchUuaTuwvtFGycKXEcjxw0lg9EL8wlTsp_-n8KHxWu8sZl-yN2IsFdkuN7rfd95ybZEIFZ9zS7VfITCwfJya86YgLirJacrDjMblXVikCVGpfXYat8xOJ8AEL0tl-N7-_PHrQG0zxAz9aug0KZrjWFp0V5cqRB6PDDhB4uiN44xUhDqA%3D%3D&sa=X&sqi=2&ved=2ahUKEwj5tdaB9deKAxVOEVkFHZ8eIsgQmxMoAHoECB4QAg,"Delightful dialogues, pleases but with a style. camera languages speaks well about the protagonists.",8," 2024",
Carpet Cowboys,,"December 27, 2024","https://www.google.com/search?sca_esv=5cf0ee39a289ec1c&q=Emily+Mackenzie&si=ACC90nwLLwns5sISZcdzuISy7t-NHozt8Cbt6G3WNQfC9ekAgErXX95d_KtLTgvKFDihbpZyFaoFoxAVodKI-AKdvDLaedoUuHQn9gGvR8QintbJkarTJE3qbt5VRmRLkOuL44jakYYRnrAvV6oXEgEy3ooSnX6NH90NCUf1B1MpGVg7fCrVMjEc68KTBWsd7SgLiiEBQhOcKIl6bAxRXqczwOn4kseetaweQiq_HPHDnjok43KBJjEdQhRMcFJ7zNyZs4bTpsTWaVO-plkJbX96FpGklxEEjP5ZoAHiq9ub0vcejz-fMnw%3D&sa=X&sqi=2&ved=2ahUKEwjWnfOf89eKAxX6MlkFHVmsLJsQmxMoAHoECBwQAg, https://www.google.com/search?sca_esv=5cf0ee39a289ec1c&q=Noah+Collier&si=ACC90nwLLwns5sISZcdzuISy7t-NHozt8Cbt6G3WNQfC9ekAgL_nqlWLKHhQsTgZvQ40X1IcjN5iEzVMSmHyO7_yyirgTiz9i1IUH9p5udqxYgJc-MOrz5Elns5T54jnl3yr56jeqsXSnddA-9sGDZG7g9GdrMRTv64IbWs-OSG704dCIBGKz6mN82K6P3yfP3xfTzQYnEI5LBndWqXYxIUCBiiYqsU8GUd5p_vKncNHNPHXe5cym5kyBMxMDVzdE6kBgO7zvje1pPpYuY1YkERnWrnQkyDz3RVv4zJAytqLe0GXid2Fito%3D&sa=X&sqi=2&ved=2ahUKEwjWnfOf89eKAxX6MlkFHVmsLJsQmxMoAXoECBwQAw","Documentary of Dalton, GA, talks about how a carpet cowboy searches his identity and eventually left the U.S., while the unseen industry strives while being left out.",7,2023,
Culinary Class Wars,,"October 29, 2024",,For the foooood: they did let the food shine,8,2024,
White Chicks,,"August 23, 2024",,,5,,
The Super Mario Bros. Movie,,"August 22, 2024",,,5,,
Logan,,"December 27, 2024",,,9,2017,
Squid Game S2,,"January 2, 2025",,,3,2024,
Violet Evergarden,,"January 5, 2025",,,5,,
The Florida Project,,"May 14, 2024",,,8,217,
Mad Max Furiosa,,"January 10, 2025",,,9,,
American Primeval,,"January 12, 2025",,"Depicts early American settler’s conflicts between each other and different native tribes. Adopted from the 1857 Mormon Meadows Massacre, the series depicts the cruel and deadly situation to survive in the western parts of the states and early morman’s way of entering Utah.",7.6,2024,
Mad Max Fury Road,,"January 11, 2025",,,9,,
Killer of the Flower Moon,,"January 16, 2025",,"Sad, tragic, but very true event of how many members of the Osage Nation were murdered and secretly massacred through marriage by white men murders fueled by oil and greed.",9,2023,
One of Them Days,,"March 1, 2025",,,,,
Mickey 17,,"March 27, 2025",,,7,2025,
Il Gattopardo (The Leopard),,"May 27, 2025",,"A grand reproduction of the novel adapted, famously made film by visconti. The new series were able to capture more detailed and visually narrated story lines that were loss in Visconti’s version.",9,2025,
The Materialists,,"June 13, 2025",,"A24 made, featuring Dakota Johnson, Pedro Pascal, and Chris Evans, discussing how relationships were always, to some degree, a calculation and evaluation of equivalency: Height, Appearance, Wealth, Potential, Match. Can love ever survive without these assessment? I knew very well that imbalance in material ultimately led to imbalance in psychological state. ",8,2025,
Squid Game S3,,"June 29, 2025",,"I like it way more than the first 6 episodes. A mother had to kill her son, when her son threatened to. kill the mother’s young friend and her kid. It was a sane decision, but also inevitably led to her suicide.",6,2025,
The Last of Us S2,,"June 1, 2025",,,8,2025,
Before Sunrise,,"June 21, 2025",,,,,
Before Sunset,,"June 22, 2025",,,,,
"Ju-on ",,"July 7, 2025",,,,,
Shrek 4,,"August 9, 2025",,,,,
Ponyo,,"August 7, 2025",,,,,
He’s just not that into you,,"August 5, 2025",,,,,
Valentine’s Day,,"August 6, 2025",,,,,
White Lotus S1,,"August 15, 2025",,"Hawaii, Focus more on white family’s hypocrisy, gen z’s resentment ",6,,
White Lotus S2,,"August 15, 2025",,Sicila - Mafia - More focus on desire,10,2022,
One Battle After Another,,"September 18, 2025",,,9,2025,
La Nutti Bianche,,"March 30, 2019",,,,,
Rocco and His Brothers,,"March 31, 2019",,,,,
落紅,,"May 23, 2023",,,,,
Girl / 女孩,,"November 5, 2025",舒淇,家暴 成長 女性經驗 台灣工業社會轉型，貧窮的家庭,8,2025,https://www.themoviedb.org/movie/1357759#
A Ciambra / 壞小子，安啦,,"July 5, 2018",,2018 台北電影節,,,
Pity / 討拍成癮的男人,,"July 6, 2018",,2018 台北電影節,,,
Sansho the Bailiff / 山椒大夫,,"July 8, 2018",,2018 台北電影節,,,
Hanagatomi / 花筐,,"July 8, 2018",,2018 台北電影節,,,
Ryuichi Sakamoto: Code / 坂本龍一：終章,,"July 13, 2018",,,,2018,
Mirror Image / 命帶追逐,,"July 17, 2018",,,,2018,
Shoplifters / 小偷家族,,"July 13, 2018",Hirokazu Koreeda 是枝裕和,,,2018,
Burning / 燃燒烈愛,,"July 10, 2018",,,,2018,
Ivan’s Childhood / 伊凡的少年時代,,"September 23, 2018",,,,,
Smiles of a Summer Night / 夏夜微笑,,"August 3, 2018",Ingmar Bergman,Ingmar Bergman 百年紀念影展,,,
Fanny and Alexander / 芬尼與亞歷山大,,"August 7, 2018",,Ingmar Bergman 百年紀念影展,,,
The Seventh Seal / 第七封印,,"August 3, 2018",,Ingmar Bergman 百年紀念影展,,,
An Elephant Sitting / 大象席地而坐,,"January 15, 2019",,,,2019,
The Favourite / 真寵,,"March 25, 2019",,,,2019,
Border / 邊境奇譚,,"January 14, 2019",,,,2019,
"Halloween / 月光光心慌慌 ",,"April 14, 2019",John Howard Carpenter,2019 Golden Horse Fantastic Film Festival,,1978,
Election /  風流教師霹靂妹,,"April 20, 2019",,2019 Golden Horse Fantastic Film Festival,,,
Assault on Precinct /  攻擊13號警局,,"April 20, 2019",,2019 Golden Horse Fantastic Film Festival,,,
Happy as Lazzaro,,"May 3, 2019",,,,2019,
John Wick: Chapter 3 - Parabellum,Emily Blunt,"May 17, 2019",,,,2019,
Bad Blood / Mauvais Sang / 壞痞子,Juliette Binoche,"June 21, 2019",Leos Carax,There was a scene when Denis Lavant danced out is love for the female character. Nice.,8,1986,
Varda by Agnes / 安妮華達：最後一堂課,Winona Ryder,"July 20, 2019",Agnes Varda,,,2019,
Man On Fire / 火線救援,,"November 15, 2025",,"A lot of close ups and shaky takes to portray Creasy’s emotional state. However, a black guy found the meaning of life from a white little girl, killed gangs and her father, and in the end says he’s going back home with a mountain scene? (tbh I relate it to another continent with a major mountain, where his ancestors home could be ) Tbh is cheesy and felt like a feel-good movie that tries to reconcile with the black people by bridging them with innoc",6,2004,
A Time To Kill / 殺戮時刻,,"November 13, 2025",,"For a movie released in the 90s, maybe it was nice. Today it was still a feel-good movie for the white educated. Maybe it did pictured the way it was but most characters were plain and only supportive. Like, ok we get it Mathew is hot and he got two hot women who both liked him and he in the end did the right thing and retreated seduction, and we want to be him, right?",6,1996,
The Quick and The Dead,,"November 18, 2025","Featuring Sharon Stone, Gene Hackman, Leonardo Dicaprio, Russel Crowe","A modern twist on traditional western: I see this movie as an epitome of feminism: LOTS of feminist analysis could be found here: ways of revenge, anxiety, despair, self-doubt, creativity, destroy, reconstruct, sexual desire and freedom. Also very interesting that the girl shot her own father dead in the beginning - could this be a male perspective’s redemption?  
In fact, not just female, you can see native american and black american roles, challenging white male supremacy.",8,1995,